Stats,Winner,Loser
Win Rate,63,7
Ace,678,439
Double,153,199
Winner,3014,1904
Error,2146,2255
Win Rate,43,6
Ace,383,305
Double,31+106,21+157
Winner,198+1507,243+1043
Error,285+1250,196+1658
Win Rate,41,8
Ace,192+23,304+103
Double,91+17,148+16
Winner,1334+210,1320+372
Error,913+281,1733+316
Win Rate,33,9
Ace,278+77,136+69
Double,59+40,110+25
Winner,1092+349,881+403
Error,799+438,1293+412
Win Rate,32,9
Ace,109+501,130+273
Double,26+56,26+133
Winner,303+1176,438+1104
Error,225+585,264+1102
Win Rate,22,8
Ace,239+64,97+42
Double,76+21,83+19
Winner,824+254,501+242
Error,710+354,710+283
Win Rate,27,8
Ace,370+93,148+58
Double,61+28,104+19
Winner,1228+358,756+323
Error,874+371,854+226
Win Rate,22,10
Ace,78+232,69+157
Double,30+72,31+87
Winner,297+979,311+772
Error,476+833,363+1082
Win Rate,29,11
Ace,305+95,211+102
Double,92+54,127+34
Winner,1019+379,719+429
Error,783+452,1024+302
Win Rate,32,11
Ace,26+138,79+128
Double,30+74,25+126
Winner,332+965,427+912
Error,495+913,474+1625